"ee.Taxon","N","Definition"
"human",2440,"disease"
"human",1939,"disease of anatomical entity"
"human",1455,"disease of cellular proliferation"
"human",1434,"cancer"
"human",1352,"organ system cancer"
"mouse",870,"disease"
"mouse",619,"disease of anatomical entity"
"human",565,"cell type cancer"
"human",389,"carcinoma"
"human",382,"nervous system disease"
"human",344,"central nervous system disease"
"human",329,"hematopoietic system disease"
"human",315,"hematologic cancer"
"human",279,"gastrointestinal system disease"
"mouse",278,"nervous system disease"
"mouse",259,"disease of cellular proliferation"
"mouse",257,"cancer"
"human",255,"musculoskeletal system disease"
"mouse",245,"central nervous system disease"
"human",242,"thoracic disease"
"human",242,"thoracic cancer"
"human",241,"breast cancer"
"human",241,"breast disease"
"mouse",236,"organ system cancer"
"human",221,"respiratory system disease"
"human",220,"connective tissue disease"
"human",214,"nervous system cancer"
"human",211,"gastrointestinal system cancer"
"human",189,"leukemia"
"human",187,"endocrine system disease"
"human",185,"lower respiratory tract disease"
"rat",171,"disease"
"mouse",170,"neurodegenerative disease"
"human",168,"neurodegenerative disease"
"human",167,"reproductive system disease"
"human",166,"bone disease"
"human",164,"endocrine gland cancer"
"human",162,"adenocarcinoma"
"human",161,"brain disease"
"human",160,"lung disease"
"human",149,"disease of mental health"
"human",143,"reproductive organ cancer"
"human",142,"disease by infectious agent"
"human",141,"musculoskeletal system cancer"
"human",132,"connective tissue cancer"
"rat",131,"disease of anatomical entity"
"human",128,"central nervous system cancer"
"human",127,"genetic disease"
"human",119,"leukocyte disease"
"mouse",117,"genetic disease"
"human",117,"respiratory system cancer"
"human",114,"immune system disease"
"human",113,"lymphocytic leukemia"
"human",113,"brain cancer"
"human",109,"bone cancer"
"human",106,"lung cancer"
"human",103,"female reproductive system disease"
"human",101,"cognitive disorder"
"human",99,"viral infectious disease"
"human",99,"hypersensitivity reaction disease"
"human",99,"intestinal cancer"
"human",98,"large intestine cancer"
"human",98,"colorectal cancer"
"human",93,"spinal disease"
"human",91,"disease of metabolism"
"human",90,"monogenic disease"
"human",90,"lymphoma"
"mouse",90,"cell type cancer"
"human",88,"malignant glioma"
"human",87,"female reproductive organ cancer"
"mouse",86,"disease of mental health"
"human",86,"cardiovascular system disease"
"mouse",80,"monogenic disease"
"human",80,"peripheral nervous system neoplasm"
"rat",78,"nervous system disease"
"human",78,"autoimmune hypersensitivity disease"
"human",78,"non-Hodgkin lymphoma"
"human",76,"astrocytoma"
"human",75,"acquired metabolic disease"
"human",75,"breast carcinoma"
"human",75,"myeloid leukemia"
"human",74,"urinary system disease"
"human",74,"male reproductive system disease"
"human",74,"squamous cell carcinoma"
"human",74,"autonomic nervous system neoplasm"
"human",74,"neuroblastoma"
"mouse",73,"brain disease"
"human",70,"glioblastoma multiforme"
"mouse",70,"carcinoma"
"mouse",68,"disease of metabolism"
"mouse",68,"gastrointestinal system disease"
"human",68,"melanoma"
"mouse",67,"hematopoietic system disease"
"human",65,"intestinal disease"
"human",65,"gonadal disease"
"rat",65,"central nervous system disease"
"human",65,"male reproductive organ cancer"
"mouse",65,"hematologic cancer"
"human",64,"lung carcinoma"
"human",63,"acute myeloid leukemia"
"human",62,"vascular disease"
"human",62,"prostate cancer"
"human",62,"prostate disease"
"human",62,"benign neoplasm"
"human",61,"autosomal genetic disease"
"human",61,"hepatobiliary disease"
"human",61,"B-cell lymphoma"
"mouse",60,"cardiovascular system disease"
"human",59,"mood disorder"
"human",58,"urinary system cancer"
"human",57,"integumentary system disease"
"human",57,"ovarian disease"
"human",57,"ovarian cancer"
"human",56,"kidney disease"
"human",56,"artery disease"
"human",56,"liver disease"
"human",56,"skin disease"
"mouse",55,"musculoskeletal system disease"
"human",55,"lung non-small cell carcinoma"
"human",54,"bone marrow disease"
"human",54,"psychotic disorder"
"human",54,"schizophrenia"
"mouse",53,"developmental disorder of mental health"
"human",53,"bone marrow cancer"
"mouse",53,"disease by infectious agent"
"human",53,"organ system benign neoplasm"
"mouse",53,"Alzheimer's disease"
"mouse",53,"tauopathy"
"human",51,"hepatobiliary system cancer"
"mouse",51,"respiratory system disease"
"mouse",50,"endocrine system disease"
"mouse",49,"acquired metabolic disease"
"human",48,"acute lymphocytic leukemia"
"human",47,"liver cancer"
"human",47,"lung adenocarcinoma"
"human",46,"bone inflammation disease"
"mouse",46,"vascular disease"
"human",46,"chronic lymphocytic leukemia"
"mouse",46,"leukemia"
"human",45,"muscular disease"
"human",45,"synucleinopathy"
"human",45,"Parkinson's disease"
"human",44,"arthritis"
"mouse",44,"lower respiratory tract disease"
"human",43,"carbohydrate metabolism disease"
"human",43,"glucose metabolism disease"
"human",42,"bacterial infectious disease"
"mouse",42,"endocrine gland cancer"
"mouse",42,"gastrointestinal system cancer"
"mouse",42,"motor neuron disease"
"human",41,"kidney cancer"
"human",41,"liver carcinoma"
"human",40,"diabetes mellitus"
"human",40,"hepatocellular carcinoma"
"rat",39,"cardiovascular system disease"
"human",39,"rheumatoid arthritis"
"human",39,"myeloid neoplasm"
"human",39,"uterine disease"
"human",39,"developmental disorder of mental health"
"human",39,"bipolar disorder"
"human",38,"autoimmune disease of central nervous system"
"human",38,"multiple sclerosis"
"human",38,"demyelinating disease"
"human",38,"autoimmune disease of the nervous system"
"human",37,"autosomal recessive disease"
"mouse",37,"lung disease"
"rat",36,"vascular disease"
"human",36,"pancreas disease"
"mouse",36,"nervous system cancer"
"rat",36,"brain disease"
"mouse",36,"thoracic disease"
"mouse",36,"breast cancer"
"mouse",36,"breast disease"
"mouse",36,"thoracic cancer"
"human",35,"nutrition disease"
"mouse",35,"pervasive developmental disorder"
"human",35,"Alzheimer's disease"
"human",35,"tauopathy"
"mouse",35,"amyotrophic lateral sclerosis"
"human",35,"pervasive developmental disorder"
"human",34,"sensory system disease"
"human",34,"eye and adnexa disease"
"human",34,"eye disease"
"human",34,"pancreatic cancer"
"human",33,"overnutrition"
"human",33,"obesity"
"human",33,"inflammatory bowel disease"
"human",33,"primary bacterial infectious disease"
"human",33,"human immunodeficiency virus infectious disease"
"human",32,"stomach cancer"
"human",32,"multiple myeloma"
"human",32,"uterine cancer"
"mouse",31,"hepatobiliary disease"
"mouse",31,"connective tissue disease"
"human",31,"malignant ovarian surface epithelial-stromal neoplasm"
"human",31,"ovary epithelial cancer"
"human",31,"ovarian carcinoma"
"mouse",31,"Huntington's disease"
"human",30,"renal carcinoma"
"human",30,"mental depression"
"mouse",30,"liver disease"
"human",30,"colonic disease"
"human",30,"autism spectrum disorder"
"human",29,"T-cell leukemia"
"human",28,"syndrome"
"human",28,"myopathy"
"human",28,"muscle tissue disease"
"mouse",27,"nutrition disease"
"human",27,"autoimmune disease of musculoskeletal system"
"human",27,"rheumatic disease"
"human",27,"renal cell carcinoma"
"mouse",27,"hepatobiliary system cancer"
"mouse",27,"liver cancer"
"rat",27,"neurodegenerative disease"
"mouse",27,"myeloid leukemia"
"mouse",26,"overnutrition"
"mouse",26,"obesity"
"human",26,"tuberculosis"
"human",26,"motor neuron disease"
"human",26,"diffuse large B-cell lymphoma"
"human",25,"upper respiratory tract disease"
"human",25,"major depressive disorder"
"human",25,"pancreatic carcinoma"
"human",25,"colitis"
"human",25,"ulcerative colitis"
"human",25,"estrogen-receptor positive breast cancer"
"mouse",24,"intestinal disease"
"mouse",24,"sensory system disease"
"mouse",24,"autosomal genetic disease"
"human",24,"lung squamous cell carcinoma"
"human",24,"colon cancer"
"mouse",24,"liver carcinoma"
"mouse",24,"immune system disease"
"mouse",24,"cognitive disorder"
"human",24,"cell type benign neoplasm"
"mouse",24,"bone disease"
"human",24,"childhood acute lymphocytic leukemia"
"mouse",23,"carbohydrate metabolism disease"
"mouse",23,"glucose metabolism disease"
"human",23,"autosomal dominant disease"
"mouse",23,"muscular disease"
"mouse",23,"acute myeloid leukemia"
"mouse",22,"diabetes mellitus"
"human",22,"type 2 diabetes mellitus"
"mouse",22,"viral infectious disease"
"mouse",22,"artery disease"
"mouse",22,"eye and adnexa disease"
"mouse",22,"eye disease"
"human",22,"heart disease"
"mouse",22,"hepatocellular carcinoma"
"human",22,"psoriasis"
"human",21,"stomach carcinoma"
"human",21,"bronchial disease"
"human",21,"asthma"
"mouse",21,"respiratory system cancer"
"mouse",21,"lung cancer"
"rat",21,"disease of cellular proliferation"
"rat",21,"cancer"
"mouse",21,"synucleinopathy"
"mouse",21,"Parkinson's disease"
"mouse",21,"cerebrovascular disease"
"human",20,"pneumonia"
"human",20,"amyotrophic lateral sclerosis"
"human",20,"endometriosis"
"human",20,"pancreatic adenocarcinoma"
"mouse",20,"adenocarcinoma"
"mouse",20,"X-linked monogenic disease"
"human",20,"chromosomal disease"
"human",20,"cervix disease"
"human",20,"cervical cancer"
"mouse",20,"musculoskeletal system cancer"
"mouse",19,"inherited metabolic disorder"
"rat",19,"ischemia"
"human",19,"influenza"
"human",19,"lupus erythematosus"
"human",19,"hepatitis C"
"human",19,"bladder disease"
"mouse",19,"hypersensitivity reaction disease"
"mouse",19,"specific developmental disorder"
"rat",19,"organ system cancer"
"human",19,"breast ductal carcinoma"
"mouse",19,"central nervous system cancer"
"rat",19,"epilepsy"
"human",18,"systemic lupus erythematosus"
"human",18,"coronary artery disease"
"mouse",18,"parasitic infectious disease"
"human",18,"urinary bladder cancer"
"human",18,"obstructive lung disease"
"human",18,"chronic obstructive pulmonary disease"
"human",18,"esophageal disease"
"mouse",18,"myopathy"
"mouse",18,"muscle tissue disease"
"rat",18,"disease of mental health"
"human",18,"sarcoma"
"human",18,"estrogen-receptor negative breast cancer"
"mouse",18,"Rett syndrome"
"rat",17,"disease of metabolism"
"mouse",17,"autism spectrum disorder"
"mouse",17,"chromosomal disease"
"human",17,"hypertension"
"human",17,"prostate carcinoma"
"mouse",17,"autoimmune hypersensitivity disease"
"human",17,"muscular dystrophy"
"human",17,"Huntington's disease"
"human",17,"muscle cancer"
"human",17,"invasive ductal carcinoma"
"mouse",17,"leukocyte disease"
"mouse",16,"autosomal dominant disease"
"human",16,"colorectal carcinoma"
"human",16,"ovary adenocarcinoma"
"human",16,"mouth disease"
"human",16,"thyroid gland cancer"
"human",16,"thyroid gland disease"
"human",16,"head and neck cancer"
"human",16,"Down syndrome"
"mouse",16,"peripheral nervous system neoplasm"
"mouse",16,"autonomic nervous system neoplasm"
"mouse",16,"neuroblastoma"
"mouse",16,"lymphoma"
"mouse",16,"brain cancer"
"human",16,"pancreatic ductal adenocarcinoma"
"mouse",16,"connective tissue cancer"
"mouse",16,"ischemia"
"human",15,"inherited metabolic disorder"
"mouse",15,"lysosomal storage disease"
"human",15,"clear cell renal cell carcinoma"
"human",15,"hypersensitivity reaction type IV disease"
"human",15,"endocrine organ benign neoplasm"
"human",15,"Crohn's disease"
"human",15,"thyroid gland carcinoma"
"human",15,"B-cell childhood acute lymphoblastic leukemia"
"rat",15,"cerebrovascular disease"
"rat",14,"acquired metabolic disease"
"human",14,"sarcoidosis"
"mouse",14,"heart disease"
"rat",14,"artery disease"
"human",14,"acute T cell leukemia"
"mouse",14,"inflammatory bowel disease"
"rat",14,"gastrointestinal system disease"
"human",14,"Her2-receptor positive breast cancer"
"mouse",14,"bone cancer"
"human",14,"Hodgkin's lymphoma"
"mouse",14,"brain ischemia"
"mouse",13,"parasitic protozoa infectious disease"
"mouse",13,"bacterial infectious disease"
"human",13,"retinal disease"
"mouse",13,"retinal disease"
"human",13,"colorectal adenocarcinoma"
"human",13,"breast adenocarcinoma"
"mouse",13,"hereditary ataxia"
"mouse",13,"muscular dystrophy"
"human",13,"gastrointestinal stromal tumor"
"human",13,"head and neck carcinoma"
"human",13,"head and neck squamous cell carcinoma"
"mouse",13,"non-Hodgkin lymphoma"
"human",13,"myelodysplastic syndrome"
"human",13,"infratentorial cancer"
"human",13,"epilepsy"
"mouse",12,"lipid storage disease"
"human",12,"liver cirrhosis"
"human",12,"juvenile rheumatoid arthritis"
"human",12,"blood protein disease"
"human",12,"follicular lymphoma"
"human",12,"gastrointestinal system benign neoplasm"
"human",12,"chronic myeloid leukemia"
"human",12,"esophageal cancer"
"mouse",12,"prion disease"
"human",12,"reproductive organ benign neoplasm"
"human",12,"T-cell childhood acute lymphocytic leukemia"
"human",12,"oligodendroglioma"
"mouse",12,"B-cell lymphoma"
"human",12,"mantle cell lymphoma"
"human",11,"type 1 diabetes mellitus"
"mouse",11,"urinary system disease"
"human",11,"mature B-cell neoplasm"
"human",11,"lymphatic system disease"
"human",11,"T-cell adult acute lymphocytic leukemia"
"human",11,"adult acute lymphocytic leukemia"
"human",11,"intestinal benign neoplasm"
"mouse",11,"squamous cell carcinoma"
"human",11,"hereditary ataxia"
"human",11,"myositis"
"human",11,"adrenal gland disease"
"human",11,"mature T-cell and NK-cell lymphoma"
"mouse",11,"colitis"
"mouse",11,"reproductive system disease"
"mouse",11,"reproductive organ cancer"
"human",11,"nervous system benign neoplasm"
"human",11,"pre-malignant neoplasm"
"human",11,"meningioma"
"human",11,"cervix carcinoma"
"human",11,"liposarcoma"
"human",11,"lipomatous cancer"
"human",11,"esophageal carcinoma"
"human",11,"osteosarcoma"
"human",11,"medulloblastoma"
"mouse",11,"epilepsy"
"human",11,"relapsing-remitting multiple sclerosis"
"rat",11,"brain ischemia"
"human",11,"osteoarthritis"
"human",11,"paranoid schizophrenia"
"mouse",10,"malaria"
"human",10,"endometrial cancer"
"human",10,"colon carcinoma"
"human",10,"nephroblastoma"
"mouse",10,"autosomal dominant cerebellar ataxia"
"human",10,"adrenal gland cancer"
"human",10,"peripheral T-cell lymphoma"
"mouse",10,"intestinal cancer"
"human",10,"female reproductive organ benign neoplasm"
"human",10,"thyroid gland adenocarcinoma"
"human",10,"differentiated thyroid gland carcinoma"
"human",10,"leiomyosarcoma"
"human",10,"smooth muscle cancer"
"human",10,"Ewing sarcoma"
"human",10,"integumentary system cancer"
"human",10,"skin cancer"
"human",10,"gastric adenocarcinoma"
"human",10,"cerebrovascular disease"
"mouse",10,"congestive heart failure"
"mouse",10,"autoimmune disease of central nervous system"
"mouse",10,"multiple sclerosis"
"mouse",10,"demyelinating disease"
"mouse",10,"autoimmune disease of the nervous system"
"rat",9,"carbohydrate metabolism disease"
"rat",9,"glucose metabolism disease"
"mouse",9,"sphingolipidosis"
"mouse",9,"syndrome"
"human",9,"peripheral nervous system disease"
"human",9,"dengue disease"
"human",9,"sensory system cancer"
"human",9,"ocular cancer"
"human",9,"idiopathic pulmonary fibrosis"
"human",9,"idiopathic interstitial pneumonia"
"human",9,"systemic scleroderma"
"human",9,"scleroderma"
