"et.Val","ee.Taxon","N"
"Homozygous negative","mouse",1289
"Overexpression","mouse",515
"Knockdown","human",340
"Overexpression","human",193
"Heterozygous","mouse",187
"Knockdown","mouse",175
"wild type genotype","mouse",142
"mutation","mouse",61
"Trp53 [mouse] transformation related protein 53","mouse",59
"mutation","human",50
"APP [human] amyloid beta (A4) precursor protein","mouse",39
"Myc [mouse] myelocytomatosis oncogene","mouse",39
"Homozygous negative","human",37
"Mecp2 [mouse] methyl CpG binding protein 2","mouse",34
"RUNX1 [human] runt-related transcription factor 1","human",30
"TP53 [human] tumor protein p53","human",29
"Dominant negative mutation","mouse",25
"Constitutive active mutation","mouse",24
"Htt [mouse] huntingtin","mouse",24
"Pten [mouse] phosphatase and tensin homolog","mouse",24
"Kras [mouse] v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","mouse",23
"Runx1 [mouse] runt related transcription factor 1","mouse",22
"Overexpression","rat",22
"HTT [human] huntingtin","mouse",20
"Pou5f1 [mouse] POU domain, class 5, transcription factor 1","mouse",20
"Fusion Protein Expression","mouse",19
"Rb1 [mouse] retinoblastoma 1","mouse",18
"Immunodepletion","mouse",18
"Ezh2 [mouse] enhancer of zeste homolog 2 (Drosophila)","mouse",18
"PSEN1 [human] presenilin 1","mouse",18
"Klf4 [mouse] Kruppel-like factor 4 (gut)","mouse",17
"Sox2 [mouse] SRY-box containing gene 2","mouse",17
"Ifnar1 [mouse] interferon (alpha and beta) receptor 1","mouse",17
"SOD1 [human] superoxide dismutase 1, soluble","mouse",16
"Apoe [mouse] apolipoprotein E","mouse",16
"Ppara [mouse] peroxisome proliferator activated receptor alpha","mouse",16
"MYC [human] v-myc avian myelocytomatosis viral oncogene homolog","human",16
"Dominant negative mutation","human",16
"Pax6 [mouse] paired box gene 6","mouse",16
"BRCA1 [human] breast cancer 1, early onset","human",15
"Pparg [mouse] peroxisome proliferator activated receptor gamma","mouse",15
"ESR1 [human] estrogen receptor 1","human",14
"MYCN [human] v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","human",14
"Knockdown","rat",14
"ERG [human] v-ets avian erythroblastosis virus E26 oncogene homolog","human",13
"Meis1 [mouse] Meis homeobox 1","mouse",13
"Fusion Protein Expression","human",13
"Mef2c [mouse] myocyte enhancer factor 2C","mouse",13
"wild type genotype","human",13
"Esr1 [mouse] estrogen receptor 1 (alpha)","mouse",12
"Dicer1 [mouse] dicer 1, ribonuclease type III","mouse",12
"Ascl1 [mouse] achaete-scute complex homolog 1 (Drosophila)","mouse",12
"TERT [human] telomerase reverse transcriptase","human",11
"Rag1 [mouse] recombination activating gene 1","mouse",11
"Crebbp [mouse] CREB binding protein","mouse",11
"Ctnnb1 [mouse] catenin (cadherin associated protein), beta 1","mouse",11
"Sirt1 [mouse] sirtuin 1","mouse",11
"STAT3 [human] signal transducer and activator of transcription 3 (acute-phase response factor)","human",11
"Fmr1 [mouse] fragile X mental retardation syndrome 1 homolog","mouse",11
"GATA3 [human] GATA binding protein 3","human",11
"Dnmt3a [mouse] DNA methyltransferase 3A","mouse",11
"Ptch1 [mouse] patched homolog 1","mouse",10
"BRCA2 [human] breast cancer 2, early onset","human",10
"MLL [human] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","human",10
"Ppargc1a [mouse] peroxisome proliferative activated receptor, gamma, coactivator 1 alpha","mouse",10
"CEBPA [human] CCAAT/enhancer binding protein (C/EBP), alpha","human",10
"Cdkn2a [mouse] cyclin-dependent kinase inhibitor 2A","mouse",10
"ETV6 [human] ets variant 6","human",10
"Foxp3 [mouse] forkhead box P3","mouse",10
"Hoxa9 [mouse] homeobox A9","mouse",10
"Dnmt1 [mouse] DNA methyltransferase (cytosine-5) 1","mouse",10
"Sod1 [mouse] superoxide dismutase 1, soluble","mouse",10
"MAPT [human] microtubule-associated protein tau","mouse",10
"Stat3 [mouse] signal transducer and activator of transcription 3","mouse",10
"Mutant drosophila","fly",10
"Heterozygous","human",9
"Creb1 [mouse] cAMP responsive element binding protein 1","mouse",9
"Nfe2l2 [mouse] nuclear factor, erythroid derived 2, like 2","mouse",9
"Hras1 [mouse] Harvey rat sarcoma virus oncogene 1","mouse",9
"EZH2 [human] enhancer of zeste 2 polycomb repressive complex 2 subunit","human",9
