"ee.Taxon","Definition.x","Definition.y","N"
"human","chemical entity","disease",294
"human","molecular entity","disease",289
"human","main group molecular entity","disease",286
"human","p-block molecular entity","disease",285
"human","carbon group molecular entity","disease",276
"human","organic molecular entity","disease",276
"human","polyatomic entity","disease",262
"human","heteroorganic entity","disease",252
"human","chalcogen molecular entity","disease",242
"human","oxygen molecular entity","disease",233
"human","molecule","disease",231
"human","chemical entity","disease of anatomical entity",230
"human","organic molecule","disease",230
"human","molecular entity","disease of anatomical entity",226
"human","main group molecular entity","disease of anatomical entity",224
"human","p-block molecular entity","disease of anatomical entity",224
"human","organochalcogen compound","disease",223
"human","carbon group molecular entity","disease of anatomical entity",218
"human","organic molecular entity","disease of anatomical entity",218
"human","chemical entity","disease of cellular proliferation",212
"human","organooxygen compound","disease",211
"human","chemical entity","cancer",211
"human","molecular entity","disease of cellular proliferation",208
"human","molecular entity","cancer",207
"human","main group molecular entity","disease of cellular proliferation",205
"human","p-block molecular entity","disease of cellular proliferation",205
"human","main group molecular entity","cancer",204
"human","p-block molecular entity","cancer",204
"human","polyatomic entity","disease of anatomical entity",202
"human","carbon group molecular entity","disease of cellular proliferation",202
"human","cyclic compound","disease",202
"human","organic cyclic compound","disease",202
"human","organic molecular entity","disease of cellular proliferation",202
"human","carbon group molecular entity","cancer",201
"human","organic molecular entity","cancer",201
"human","heteroorganic entity","disease of anatomical entity",197
"human","chemical entity","organ system cancer",192
"human","chalcogen molecular entity","disease of anatomical entity",189
"human","molecular entity","organ system cancer",188
"human","polyatomic entity","disease of cellular proliferation",188
"human","polyatomic entity","cancer",188
"human","main group molecular entity","organ system cancer",186
"human","p-block molecular entity","organ system cancer",186
"human","heteroorganic entity","disease of cellular proliferation",184
"human","oxygen molecular entity","disease of anatomical entity",183
"human","heteroorganic entity","cancer",183
"human","carbon group molecular entity","organ system cancer",183
"human","organic molecular entity","organ system cancer",183
"human","molecule","disease of anatomical entity",181
"human","organic molecule","disease of anatomical entity",180
"mouse","chemical entity","disease",179
"human","molecule","disease of cellular proliferation",179
"human","molecule","cancer",179
"human","organic molecule","disease of cellular proliferation",179
"human","organic molecule","cancer",179
"human","pnictogen molecular entity","disease",177
"mouse","molecular entity","disease",176
"mouse","main group molecular entity","disease",176
"mouse","p-block molecular entity","disease",176
"human","chalcogen molecular entity","disease of cellular proliferation",175
"human","chalcogen molecular entity","cancer",174
"human","nitrogen molecular entity","disease",174
"human","organochalcogen compound","disease of anatomical entity",172
"human","organonitrogen compound","disease",170
"human","polyatomic entity","organ system cancer",170
"mouse","carbon group molecular entity","disease",167
"mouse","organic molecular entity","disease",167
"human","oxygen molecular entity","disease of cellular proliferation",167
"human","oxygen molecular entity","cancer",166
"human","heteroorganic entity","organ system cancer",166
"human","organooxygen compound","disease of anatomical entity",164
"human","organochalcogen compound","disease of cellular proliferation",164
"human","organochalcogen compound","cancer",163
"human","molecule","organ system cancer",162
"human","organic molecule","organ system cancer",162
"human","cyclic compound","disease of anatomical entity",160
"human","organic cyclic compound","disease of anatomical entity",160
"human","heteroatomic molecular entity","disease",159
"human","chalcogen molecular entity","organ system cancer",158
"human","cyclic compound","disease of cellular proliferation",158
"human","cyclic compound","cancer",158
"human","organic cyclic compound","disease of cellular proliferation",158
"human","organic cyclic compound","cancer",158
"human","organooxygen compound","disease of cellular proliferation",152
"human","oxygen molecular entity","organ system cancer",151
"human","organooxygen compound","cancer",151
"mouse","heteroorganic entity","disease",148
"mouse","polyatomic entity","disease",148
"human","organochalcogen compound","organ system cancer",147
"human","cyclic compound","organ system cancer",144
"human","organic cyclic compound","organ system cancer",144
"human","aromatic compound","disease",140
"human","organic aromatic compound","disease",140
"human","pnictogen molecular entity","disease of cellular proliferation",137
"human","pnictogen molecular entity","cancer",136
"human","organooxygen compound","organ system cancer",136
"mouse","chalcogen molecular entity","disease",135
"human","pnictogen molecular entity","disease of anatomical entity",135
"human","organonitrogen compound","disease of cellular proliferation",135
"human","nitrogen molecular entity","disease of cellular proliferation",135
"human","organic heterocyclic compound","disease",134
"human","organonitrogen compound","cancer",134
"human","nitrogen molecular entity","cancer",134
"human","heterocyclic compound","disease",134
"human","nitrogen molecular entity","disease of anatomical entity",132
"mouse","oxygen molecular entity","disease",129
"human","organonitrogen compound","disease of anatomical entity",129
"mouse","chemical entity","disease of anatomical entity",127
"mouse","molecular entity","disease of anatomical entity",124
"mouse","main group molecular entity","disease of anatomical entity",124
"mouse","p-block molecular entity","disease of anatomical entity",124
"human","heteroatomic molecular entity","disease of anatomical entity",124
"mouse","organochalcogen compound","disease",122
"human","pnictogen molecular entity","organ system cancer",120
"mouse","carbon group molecular entity","disease of anatomical entity",118
"mouse","organic molecular entity","disease of anatomical entity",118
"human","organonitrogen compound","organ system cancer",118
