"ee.Taxon","Definition.x","Definition.y","N"
"mouse","central nervous system disease","brain",165
"mouse","nervous system disease","brain",165
"human","nervous system disease","brain",146
"human","central nervous system disease","brain",145
"mouse","central nervous system disease","regional part of brain",123
"mouse","nervous system disease","regional part of brain",123
"mouse","neurodegenerative disease","brain",111
"mouse","central nervous system disease","forebrain",103
"mouse","nervous system disease","forebrain",103
"mouse","central nervous system disease","brain gray matter",97
"mouse","nervous system disease","brain gray matter",97
"mouse","central nervous system disease","telencephalon",97
"mouse","nervous system disease","telencephalon",97
"mouse","neurodegenerative disease","regional part of brain",92
"mouse","central nervous system disease","gray matter of forebrain",91
"mouse","nervous system disease","gray matter of forebrain",91
"mouse","central nervous system disease","gray matter of telencephalon",89
"mouse","nervous system disease","gray matter of telencephalon",89
"human","nervous system disease","regional part of brain",88
"human","central nervous system disease","regional part of brain",87
"human","brain disease","brain",82
"mouse","neurodegenerative disease","forebrain",74
"mouse","neurodegenerative disease","brain gray matter",74
"mouse","central nervous system disease","cerebral hemisphere",72
"mouse","nervous system disease","cerebral hemisphere",72
"mouse","neurodegenerative disease","telencephalon",71
"mouse","neurodegenerative disease","gray matter of forebrain",68
"mouse","neurodegenerative disease","gray matter of telencephalon",67
"human","nervous system disease","brain gray matter",67
"human","central nervous system disease","brain gray matter",66
"mouse","central nervous system disease","pallium",64
"mouse","central nervous system disease","cerebral cortex",64
"mouse","central nervous system disease","cerebral hemisphere gray matter",64
"mouse","nervous system disease","pallium",64
"mouse","nervous system disease","cerebral cortex",64
"mouse","nervous system disease","cerebral hemisphere gray matter",64
"human","nervous system disease","forebrain",63
"human","central nervous system cancer","brain",62
"human","neurodegenerative disease","brain",62
"human","central nervous system disease","forebrain",62
"human","nervous system disease","telencephalon",62
"human","brain cancer","brain",61
"human","central nervous system disease","telencephalon",61
"human","nervous system disease","cerebral hemisphere",61
"human","central nervous system disease","cerebral hemisphere",60
"mouse","nervous system disease","neural cell",57
"human","neurodegenerative disease","regional part of brain",56
"mouse","brain disease","brain",53
"mouse","central nervous system disease","neural cell",53
"human","nervous system disease","gray matter of forebrain",51
"human","central nervous system disease","gray matter of forebrain",50
"human","nervous system disease","gray matter of telencephalon",49
"mouse","neurodegenerative disease","cerebral hemisphere",48
"human","central nervous system disease","gray matter of telencephalon",48
"human","neurodegenerative disease","brain gray matter",47
"human","malignant glioma","brain",46
"human","nervous system disease","cerebral hemisphere gray matter",46
"mouse","neurodegenerative disease","neural cell",46
"rat","central nervous system disease","brain",45
"rat","nervous system disease","brain",45
"human","central nervous system disease","cerebral hemisphere gray matter",45
"human","nervous system disease","pallium",45
"human","nervous system disease","cerebral cortex",45
"mouse","neurodegenerative disease","pallium",44
"mouse","neurodegenerative disease","cerebral cortex",44
"mouse","neurodegenerative disease","cerebral hemisphere gray matter",44
"human","central nervous system disease","pallium",44
"human","central nervous system disease","cerebral cortex",44
"rat","central nervous system disease","regional part of brain",39
"rat","nervous system disease","regional part of brain",39
"human","nervous system disease","neural cell",39
"mouse","central nervous system disease","hippocampal formation",38
"mouse","nervous system disease","hippocampal formation",38
"human","neurodegenerative disease","forebrain",38
"human","astrocytoma","brain",37
"human","neurodegenerative disease","telencephalon",37
"human","central nervous system disease","neural cell",37
"human","nervous system disease","lobe of cerebral hemisphere",37
"rat","central nervous system disease","brain gray matter",36
"rat","nervous system disease","brain gray matter",36
"mouse","central nervous system disease","cerebral subcortex",36
"mouse","central nervous system disease","basal ganglion",36
"mouse","central nervous system disease","aggregate regional part of brain",36
"mouse","central nervous system disease","collection of basal ganglia",36
"mouse","nervous system disease","cerebral subcortex",36
"mouse","nervous system disease","basal ganglion",36
"mouse","nervous system disease","aggregate regional part of brain",36
"mouse","nervous system disease","collection of basal ganglia",36
"mouse","Alzheimer's disease","brain",36
"mouse","tauopathy","brain",36
"human","neurodegenerative disease","cerebral hemisphere",36
"human","central nervous system disease","lobe of cerebral hemisphere",36
"human","glioblastoma multiforme","brain",34
"mouse","neurodegenerative disease","cerebral subcortex",34
"mouse","neurodegenerative disease","basal ganglion",34
"mouse","neurodegenerative disease","aggregate regional part of brain",34
"mouse","neurodegenerative disease","collection of basal ganglia",34
"mouse","nervous system disease","neuron associated cell",34
"mouse","nervous system disease","glial cell",34
"mouse","central nervous system disease","lobe of cerebral hemisphere",33
"mouse","nervous system disease","lobe of cerebral hemisphere",33
"rat","central nervous system disease","forebrain",33
"rat","central nervous system disease","telencephalon",33
"rat","nervous system disease","forebrain",33
"rat","nervous system disease","telencephalon",33
"mouse","central nervous system disease","basal forebrain",33
"mouse","nervous system disease","basal forebrain",33
"mouse","central nervous system disease","neuron associated cell",33
"mouse","central nervous system disease","glial cell",33
"human","brain disease","regional part of brain",32
"mouse","brain disease","regional part of brain",32
"rat","central nervous system disease","gray matter of telencephalon",32
"rat","central nervous system disease","gray matter of forebrain",32
"rat","nervous system disease","gray matter of telencephalon",32
"rat","nervous system disease","gray matter of forebrain",32
"mouse","central nervous system disease","ventral part of telencephalon",32
"mouse","central nervous system disease","corpus striatum",32
"mouse","central nervous system disease","striatum",32
"mouse","central nervous system disease","basal nuclear complex",32
"mouse","nervous system disease","ventral part of telencephalon",32
"mouse","nervous system disease","corpus striatum",32
"mouse","nervous system disease","striatum",32
"mouse","nervous system disease","basal nuclear complex",32
"human","neurodegenerative disease","gray matter of telencephalon",31
"human","neurodegenerative disease","gray matter of forebrain",31
"mouse","neurodegenerative disease","basal forebrain",31
"mouse","central nervous system disease","glial cell (sensu Vertebrata)",31
"mouse","nervous system disease","glial cell (sensu Vertebrata)",31
"mouse","Alzheimer's disease","regional part of brain",30
"mouse","tauopathy","regional part of brain",30
"mouse","brain disease","forebrain",30
"rat","brain disease","brain",30
"mouse","neurodegenerative disease","ventral part of telencephalon",30
"mouse","neurodegenerative disease","corpus striatum",30
"mouse","neurodegenerative disease","striatum",30
"mouse","neurodegenerative disease","basal nuclear complex",30
"mouse","Alzheimer's disease","forebrain",29
"mouse","Alzheimer's disease","telencephalon",29
"mouse","tauopathy","forebrain",29
"mouse","tauopathy","telencephalon",29
"mouse","Alzheimer's disease","cerebral hemisphere",28
"mouse","Alzheimer's disease","brain gray matter",28
"mouse","Alzheimer's disease","gray matter of telencephalon",28
"mouse","Alzheimer's disease","gray matter of forebrain",28
"mouse","central nervous system disease","limbic system",28
"mouse","tauopathy","cerebral hemisphere",28
"mouse","tauopathy","brain gray matter",28
"mouse","tauopathy","gray matter of telencephalon",28
"mouse","tauopathy","gray matter of forebrain",28
"mouse","nervous system disease","limbic system",28
"human","neurodegenerative disease","cerebral hemisphere gray matter",28
"mouse","central nervous system disease","hindbrain",27
"mouse","nervous system disease","hindbrain",27
"mouse","Alzheimer's disease","pallium",27
"mouse","Alzheimer's disease","cerebral cortex",27
"mouse","Alzheimer's disease","cerebral hemisphere gray matter",27
"mouse","central nervous system disease","Ammon's horn",27
"mouse","central nervous system disease","limbic lobe",27
"mouse","tauopathy","pallium",27
"mouse","tauopathy","cerebral cortex",27
"mouse","tauopathy","cerebral hemisphere gray matter",27
"mouse","nervous system disease","Ammon's horn",27
"mouse","nervous system disease","limbic lobe",27
"human","neurodegenerative disease","pallium",27
"human","neurodegenerative disease","cerebral cortex",27
"rat","central nervous system disease","cerebral hemisphere",27
"rat","nervous system disease","cerebral hemisphere",27
"mouse","brain disease","telencephalon",27
"mouse","neurodegenerative disease","hippocampal formation",26
"rat","central nervous system disease","cerebral hemisphere gray matter",26
"rat","nervous system disease","cerebral hemisphere gray matter",26
"rat","brain disease","regional part of brain",26
"mouse","nervous system disease","neuron",26
"mouse","neurodegenerative disease","neuron associated cell",26
"mouse","neurodegenerative disease","glial cell",26
"mouse","central nervous system disease","metencephalon",25
"mouse","central nervous system disease","cerebellum",25
"mouse","central nervous system disease","segmental subdivision of hindbrain",25
"mouse","nervous system disease","metencephalon",25
"mouse","nervous system disease","cerebellum",25
"mouse","nervous system disease","segmental subdivision of hindbrain",25
"human","central nervous system disease","neocortex",25
"human","nervous system disease","neocortex",25
"human","brain disease","cerebral hemisphere",25
"human","brain disease","forebrain",25
"human","brain disease","telencephalon",25
"rat","central nervous system disease","pallium",25
"rat","central nervous system disease","cerebral cortex",25
"rat","nervous system disease","pallium",25
"rat","nervous system disease","cerebral cortex",25
"rat","brain disease","cerebral hemisphere",25
"rat","brain disease","forebrain",25
"rat","brain disease","telencephalon",25
"mouse","brain disease","cerebral hemisphere",25
"human","Alzheimer's disease","brain",24
"human","neurodegenerative disease","lobe of cerebral hemisphere",24
"human","tauopathy","brain",24
"mouse","brain disease","brain gray matter",24
"mouse","brain disease","gray matter of forebrain",24
"human","nervous system disease","cerebral subcortex",24
"human","nervous system disease","nucleus of brain",24
"human","nervous system disease","basal ganglion",24
"human","nervous system disease","aggregate regional part of brain",24
"human","nervous system disease","collection of basal ganglia",24
"rat","brain disease","brain gray matter",24
"rat","brain disease","cerebral hemisphere gray matter",24
"rat","brain disease","gray matter of telencephalon",24
"rat","brain disease","gray matter of forebrain",24
"human","synucleinopathy","brain",24
"human","synucleinopathy","regional part of brain",24
"human","Parkinson's disease","brain",24
"human","Parkinson's disease","regional part of brain",24
"mouse","Huntington's disease","brain",24
"mouse","neurodegenerative disease","glial cell (sensu Vertebrata)",24
"human","nervous system disease","hindbrain",23
"human","nervous system disease","segmental subdivision of hindbrain",23
"human","Alzheimer's disease","cerebral hemisphere",23
"human","Alzheimer's disease","forebrain",23
"human","Alzheimer's disease","telencephalon",23
"human","Alzheimer's disease","regional part of brain",23
"human","neurodegenerative disease","neural cell",23
"human","central nervous system disease","neuron",23
"human","tauopathy","cerebral hemisphere",23
"human","tauopathy","forebrain",23
"human","tauopathy","telencephalon",23
"human","tauopathy","regional part of brain",23
"human","nervous system disease","neuron",23
"human","neurodegenerative disease","nucleus of brain",23
"human","central nervous system disease","cerebral subcortex",23
"human","central nervous system disease","nucleus of brain",23
"human","central nervous system disease","basal ganglion",23
"human","central nervous system disease","aggregate regional part of brain",23
"human","central nervous system disease","collection of basal ganglia",23
"rat","brain disease","pallium",23
"rat","brain disease","cerebral cortex",23
"mouse","Huntington's disease","regional part of brain",23
"mouse","brain disease","gray matter of telencephalon",23
"mouse","central nervous system disease","microglial cell",23
"mouse","central nervous system disease","central nervous system macrophage",23
"mouse","nervous system disease","microglial cell",23
"mouse","nervous system disease","central nervous system macrophage",23
"human","central nervous system disease","hindbrain",22
"human","central nervous system disease","segmental subdivision of hindbrain",22
"human","nervous system disease","metencephalon",22
"mouse","Alzheimer's disease","hippocampal formation",22
"mouse","neurodegenerative disease","lobe of cerebral hemisphere",22
"mouse","tauopathy","hippocampal formation",22
"human","neurodegenerative disease","cerebral subcortex",22
"human","neurodegenerative disease","basal ganglion",22
"human","neurodegenerative disease","aggregate regional part of brain",22
"human","neurodegenerative disease","collection of basal ganglia",22
"human","synucleinopathy","brain gray matter",22
"human","Parkinson's disease","brain gray matter",22
"mouse","Huntington's disease","forebrain",22
"mouse","Huntington's disease","telencephalon",22
"mouse","neurodegenerative disease","neuron",22
"mouse","central nervous system disease","neuron",22
"human","central nervous system disease","metencephalon",21
"human","central nervous system disease","frontal lobe",21
"human","nervous system disease","frontal lobe",21
"mouse","Huntington's disease","brain gray matter",21
"mouse","Huntington's disease","gray matter of telencephalon",21
"mouse","Huntington's disease","gray matter of forebrain",21
"mouse","brain disease","pallium",21
"mouse","brain disease","cerebral cortex",21
"mouse","brain disease","cerebral hemisphere gray matter",21
"mouse","neurodegenerative disease","hindbrain",20
"human","nervous system disease","cerebellum",20
"human","central nervous system disease","cortex of cerebral lobe",20
"human","nervous system disease","cortex of cerebral lobe",20
"human","synucleinopathy","nucleus of brain",20
"human","Parkinson's disease","nucleus of brain",20
"mouse","synucleinopathy","brain",19
"mouse","Parkinson's disease","brain",19
"human","central nervous system disease","cerebellum",19
"mouse","neurodegenerative disease","limbic system",19
"mouse","neurodegenerative disease","Ammon's horn",19
"mouse","neurodegenerative disease","limbic lobe",19
"human","brain disease","brain gray matter",19
"human","brain disease","gray matter of forebrain",19
"human","synucleinopathy","cerebral subcortex",19
"human","synucleinopathy","basal ganglion",19
"human","synucleinopathy","aggregate regional part of brain",19
"human","synucleinopathy","collection of basal ganglia",19
"human","neurodegenerative disease","midbrain",19
"human","Parkinson's disease","cerebral subcortex",19
"human","Parkinson's disease","basal ganglion",19
"human","Parkinson's disease","aggregate regional part of brain",19
"human","Parkinson's disease","collection of basal ganglia",19
"human","central nervous system disease","midbrain",19
"human","nervous system disease","midbrain",19
"mouse","Huntington's disease","ventral part of telencephalon",19
"mouse","Huntington's disease","corpus striatum",19
"mouse","Huntington's disease","cerebral subcortex",19
"mouse","Huntington's disease","basal ganglion",19
"mouse","Huntington's disease","striatum",19
"mouse","Huntington's disease","basal forebrain",19
"mouse","Huntington's disease","basal nuclear complex",19
"mouse","Huntington's disease","aggregate regional part of brain",19
"mouse","Huntington's disease","collection of basal ganglia",19
"mouse","motor neuron disease","neural cell",19
"mouse","neurodegenerative disease","microglial cell",19
"mouse","neurodegenerative disease","central nervous system macrophage",19
"mouse","neurodegenerative disease","metencephalon",18
"mouse","neurodegenerative disease","cerebellum",18
"mouse","neurodegenerative disease","segmental subdivision of hindbrain",18
"mouse","Alzheimer's disease","lobe of cerebral hemisphere",18
"mouse","tauopathy","lobe of cerebral hemisphere",18
"human","neurodegenerative disease","neuron",18
"human","nervous system disease","temporal lobe",18
"human","central nervous system disease","frontal cortex",18
"human","nervous system disease","frontal cortex",18
"rat","epilepsy","brain",18
"rat","epilepsy","cerebral hemisphere",18
"rat","epilepsy","forebrain",18
"rat","epilepsy","telencephalon",18
"rat","epilepsy","regional part of brain",18
"rat","epilepsy","brain gray matter",18
"rat","epilepsy","cerebral hemisphere gray matter",18
"rat","epilepsy","gray matter of telencephalon",18
"rat","epilepsy","gray matter of forebrain",18
"rat","central nervous system disease","hippocampal formation",18
"rat","nervous system disease","hippocampal formation",18
"mouse","cerebrovascular disease","brain",17
"mouse","synucleinopathy","regional part of brain",17
"mouse","Parkinson's disease","regional part of brain",17
"mouse","Alzheimer's disease","limbic system",17
"mouse","Alzheimer's disease","Ammon's horn",17
"mouse","Alzheimer's disease","limbic lobe",17
"mouse","tauopathy","limbic system",17
"mouse","tauopathy","Ammon's horn",17
"mouse","tauopathy","limbic lobe",17
"human","Alzheimer's disease","pallium",17
"human","Alzheimer's disease","cerebral cortex",17
"human","Alzheimer's disease","brain gray matter",17
"human","Alzheimer's disease","cerebral hemisphere gray matter",17
"human","Alzheimer's disease","gray matter of telencephalon",17
"human","Alzheimer's disease","gray matter of forebrain",17
"human","central nervous system disease","temporal lobe",17
"human","tauopathy","pallium",17
"human","tauopathy","cerebral cortex",17
"human","tauopathy","brain gray matter",17
"human","tauopathy","cerebral hemisphere gray matter",17
"human","tauopathy","gray matter of telencephalon",17
"human","tauopathy","gray matter of forebrain",17
"human","brain disease","pallium",17
"human","brain disease","cerebral cortex",17
"human","brain disease","cerebral hemisphere gray matter",17
"human","brain disease","gray matter of telencephalon",17
"human","neurodegenerative disease","neocortex",17
"rat","epilepsy","pallium",17
"rat","epilepsy","cerebral cortex",17
"human","synucleinopathy","midbrain",17
"human","neurodegenerative disease","midbrain nucleus",17
"human","Parkinson's disease","midbrain",17
"human","central nervous system disease","midbrain nucleus",17
"human","nervous system disease","midbrain nucleus",17
"mouse","amyotrophic lateral sclerosis","neural cell",17
"rat","brain disease","hippocampal formation",16
"human","neurodegenerative disease","substantia nigra",16
"human","central nervous system disease","substantia nigra",16
"human","nervous system disease","substantia nigra",16
"mouse","Alzheimer's disease","neural cell",16
"mouse","tauopathy","neural cell",16
"human","brain cancer","regional part of brain",15
"human","central nervous system cancer","regional part of brain",15
"human","Alzheimer's disease","lobe of cerebral hemisphere",15
"human","tauopathy","lobe of cerebral hemisphere",15
"human","neurodegenerative disease","cortex of cerebral lobe",15
"human","synucleinopathy","substantia nigra",15
"human","synucleinopathy","midbrain nucleus",15
"human","Parkinson's disease","substantia nigra",15
"human","Parkinson's disease","midbrain nucleus",15
"mouse","motor neuron disease","brain",15
"rat","neurodegenerative disease","brain",14
"mouse","synucleinopathy","brain gray matter",14
"mouse","Parkinson's disease","brain gray matter",14
"human","neurodegenerative disease","frontal lobe",14
"rat","epilepsy","hippocampal formation",14
"human","brain disease","neural cell",14
"mouse","Alzheimer's disease","neuron associated cell",14
"mouse","Alzheimer's disease","glial cell",14
"mouse","Alzheimer's disease","glial cell (sensu Vertebrata)",14
"mouse","tauopathy","neuron associated cell",14
"mouse","tauopathy","glial cell",14
"mouse","tauopathy","glial cell (sensu Vertebrata)",14
"human","brain disease","metencephalon",13
"human","brain disease","hindbrain",13
"human","brain disease","cerebellum",13
"human","brain disease","segmental subdivision of hindbrain",13
"human","brain disease","lobe of cerebral hemisphere",13
"human","neurodegenerative disease","frontal cortex",13
"human","central nervous system disease","neuron associated cell",13
"human","central nervous system disease","glial cell",13
"human","central nervous system disease","glial cell (sensu Vertebrata)",13
"human","nervous system disease","neuron associated cell",13
"human","nervous system disease","glial cell",13
"human","nervous system disease","glial cell (sensu Vertebrata)",13
"mouse","Alzheimer's disease","microglial cell",13
"mouse","Alzheimer's disease","central nervous system macrophage",13
"mouse","tauopathy","microglial cell",13
"mouse","tauopathy","central nervous system macrophage",13
"rat","neurodegenerative disease","regional part of brain",12
"rat","central nervous system disease","cerebral subcortex",12
"rat","central nervous system disease","basal ganglion",12
"rat","central nervous system disease","aggregate regional part of brain",12
"rat","central nervous system disease","collection of basal ganglia",12
"rat","nervous system disease","neural cell",12
"rat","nervous system disease","cerebral subcortex",12
"rat","nervous system disease","basal ganglion",12
"rat","nervous system disease","aggregate regional part of brain",12
"rat","nervous system disease","collection of basal ganglia",12
"mouse","brain ischemia","brain",12
"human","brain cancer","metencephalon",12
"human","brain cancer","hindbrain",12
"human","brain cancer","cerebellum",12
"human","brain cancer","segmental subdivision of hindbrain",12
"human","central nervous system cancer","metencephalon",12
"human","central nervous system cancer","hindbrain",12
"human","central nervous system cancer","cerebellum",12
"human","central nervous system cancer","segmental subdivision of hindbrain",12
"human","neurodegenerative disease","temporal lobe",12
"rat","central nervous system disease","lobe of cerebral hemisphere",12
"rat","nervous system disease","lobe of cerebral hemisphere",12
"mouse","brain disease","hippocampal formation",12
"human","central nervous system disease","hippocampal formation",12
"human","nervous system disease","hippocampal formation",12
"mouse","nervous system disease","efferent neuron",12
"mouse","central nervous system cancer","brain",12
"human","central nervous system disease","macroglial cell",12
"human","central nervous system disease","astrocyte",12
"human","nervous system disease","macroglial cell",12
"human","nervous system disease","astrocyte",12
"mouse","amyotrophic lateral sclerosis","brain",12
"mouse","hereditary ataxia","brain",11
"rat","neurodegenerative disease","brain gray matter",11
"rat","central nervous system disease","neural cell",11
"mouse","synucleinopathy","cerebral subcortex",11
"mouse","synucleinopathy","basal ganglion",11
"mouse","synucleinopathy","aggregate regional part of brain",11
"mouse","synucleinopathy","collection of basal ganglia",11
"mouse","Parkinson's disease","cerebral subcortex",11
"mouse","Parkinson's disease","basal ganglion",11
"mouse","Parkinson's disease","aggregate regional part of brain",11
"mouse","Parkinson's disease","collection of basal ganglia",11
"human","Alzheimer's disease","temporal lobe",11
"human","tauopathy","temporal lobe",11
"human","nervous system disease","limbic system",11
"rat","central nervous system disease","limbic system",11
"rat","nervous system disease","limbic system",11
"rat","brain disease","lobe of cerebral hemisphere",11
"mouse","synucleinopathy","forebrain",11
"mouse","Parkinson's disease","forebrain",11
"mouse","neurodegenerative disease","efferent neuron",11
"mouse","central nervous system disease","efferent neuron",11
"rat","cerebrovascular disease","brain",11
"mouse","brain cancer","brain",11
"mouse","motor neuron disease","neuron associated cell",11
"mouse","motor neuron disease","glial cell",11
"mouse","amyotrophic lateral sclerosis","neuron associated cell",11
"mouse","amyotrophic lateral sclerosis","glial cell",11
"mouse","hereditary ataxia","metencephalon",10
"mouse","hereditary ataxia","hindbrain",10
"mouse","hereditary ataxia","cerebellum",10
"mouse","hereditary ataxia","regional part of brain",10
"mouse","hereditary ataxia","segmental subdivision of hindbrain",10
"rat","neurodegenerative disease","cerebral subcortex",10
"rat","neurodegenerative disease","basal ganglion",10
"rat","neurodegenerative disease","aggregate regional part of brain",10
"rat","neurodegenerative disease","collection of basal ganglia",10
"human","central nervous system disease","limbic system",10
"human","nervous system disease","ventral part of telencephalon",10
"human","nervous system disease","corpus striatum",10
"human","nervous system disease","striatum",10
"human","nervous system disease","basal forebrain",10
"human","nervous system disease","basal nuclear complex",10
