"ee.Taxon","N","Definition"
"mouse",1547,"brain"
"mouse",1267,"regional part of brain"
"mouse",1101,"forebrain"
"mouse",1000,"brain gray matter"
"mouse",963,"gray matter of forebrain"
"mouse",930,"telencephalon"
"mouse",866,"gray matter of telencephalon"
"mouse",825,"cerebral hemisphere"
"mouse",754,"cerebral hemisphere gray matter"
"mouse",738,"pallium"
"mouse",730,"cerebral cortex"
"mouse",514,"neural cell"
"mouse",460,"lobe of cerebral hemisphere"
"mouse",447,"limbic system"
"rat",383,"brain"
"human",364,"brain"
"mouse",363,"hippocampal formation"
"rat",350,"regional part of brain"
"rat",318,"forebrain"
"rat",312,"brain gray matter"
"mouse",304,"limbic lobe"
"rat",298,"gray matter of forebrain"
"mouse",296,"neuron"
"mouse",288,"Ammon's horn"
"rat",264,"telencephalon"
"human",259,"regional part of brain"
"rat",255,"gray matter of telencephalon"
"rat",247,"cerebral hemisphere"
"rat",232,"cerebral hemisphere gray matter"
"mouse",228,"neuron associated cell"
"mouse",223,"cerebral subcortex"
"mouse",221,"aggregate regional part of brain"
"mouse",221,"collection of basal ganglia"
"mouse",220,"basal ganglion"
"rat",219,"pallium"
"rat",219,"cerebral cortex"
"mouse",217,"glial cell"
"human",210,"forebrain"
"human",210,"brain gray matter"
"mouse",206,"glial cell (sensu Vertebrata)"
"mouse",205,"hindbrain"
"human",197,"telencephalon"
"human",195,"cerebral hemisphere"
"mouse",195,"segmental subdivision of hindbrain"
"human",187,"gray matter of forebrain"
"mouse",185,"metencephalon"
"human",179,"neural cell"
"human",179,"gray matter of telencephalon"
"mouse",178,"cerebellum"
"mouse",176,"corpus striatum"
"mouse",174,"basal forebrain"
"mouse",171,"neocortex"
"human",171,"cerebral hemisphere gray matter"
"mouse",170,"ventral part of telencephalon"
"mouse",169,"striatum"
"mouse",169,"basal nuclear complex"
"human",167,"pallium"
"human",167,"cerebral cortex"
"rat",162,"limbic system"
"mouse",158,"diencephalon"
"rat",149,"lobe of cerebral hemisphere"
"mouse",146,"central nervous system neuron"
"rat",146,"hippocampal formation"
"mouse",135,"thalamic complex"
"mouse",135,"gray matter of diencephalon"
"mouse",133,"cortex of cerebral lobe"
"human",126,"lobe of cerebral hemisphere"
"mouse",122,"frontal lobe"
"mouse",119,"microglial cell"
"mouse",119,"central nervous system macrophage"
"mouse",117,"frontal cortex"
"mouse",115,"nucleus of brain"
"mouse",112,"hypothalamus"
"mouse",111,"CNS neuron (sensu Vertebrata)"
"human",100,"neocortex"
"rat",98,"limbic lobe"
"rat",97,"neural cell"
"rat",96,"Ammon's horn"
"human",94,"neuron"
"human",87,"cortex of cerebral lobe"
"mouse",82,"macroglial cell"
"human",81,"frontal lobe"
"mouse",76,"midbrain"
"human",76,"frontal cortex"
"mouse",73,"astrocyte"
