"ee.Taxon","N","Definition"
"mouse",4031,"Thing"
"mouse",4018,"continuant"
"mouse",4014,"anatomical entity"
"mouse",4014,"anatomical structure"
"mouse",4014,"material anatomical entity"
"mouse",4014,"multicellular organism"
"mouse",4014,"multicellular anatomical structure"
"mouse",3783,"anatomical system"
"mouse",3775,"independent continuant"
"mouse",3730,"biological entity"
"mouse",3509,"material entity"
"mouse",3389,"organ"
"human",2865,"continuant"
"human",2864,"Thing"
"human",2854,"anatomical entity"
"human",2854,"material anatomical entity"
"human",2854,"anatomical structure"
"human",2852,"multicellular anatomical structure"
"human",2848,"multicellular organism"
"human",2618,"anatomical system"
"mouse",2579,"organ system subdivision"
"human",2565,"independent continuant"
"human",2525,"biological entity"
"human",2373,"material entity"
"mouse",2188,"ectoderm-derived structure"
"mouse",2135,"nervous system"
"mouse",1821,"central nervous system"
"mouse",1805,"organ part"
"mouse",1754,"structure with developmental contribution from neural crest"
"human",1653,"organ"
"mouse",1547,"brain"
"mouse",1521,"cell"
"mouse",1521,"native cell"
"mouse",1498,"multi-tissue structure"
"mouse",1449,"organism subdivision"
"human",1429,"cell"
"human",1428,"native cell"
"mouse",1425,"lateral structure"
"mouse",1379,"eukaryotic cell"
"mouse",1379,"animal cell"
"mouse",1378,"somatic cell"
"human",1352,"somatic cell"
"human",1315,"eukaryotic cell"
"human",1315,"animal cell"
"mouse",1287,"regional part of nervous system"
"mouse",1267,"regional part of brain"
"mouse",1236,"anatomical cluster"
"mouse",1225,"subdivision of organism along main body axis"
"mouse",1225,"main body axis"
"mouse",1223,"body proper"
"mouse",1101,"forebrain"
"mouse",1085,"multi cell part structure"
"human",1052,"mesoderm-derived structure"
"human",1041,"organ system subdivision"
"mouse",1035,"central nervous system cell part cluster"
"mouse",1002,"gray matter"
"mouse",1000,"brain gray matter"
"mouse",981,"trunk"
"mouse",963,"gray matter of forebrain"
"mouse",944,"trunk region element"
"mouse",930,"telencephalon"
"mouse",930,"subdivision of trunk"
"mouse",923,"tissue"
"mouse",866,"gray matter of telencephalon"
"human",836,"organ part"
"mouse",825,"cerebral hemisphere"
"mouse",785,"mesoderm-derived structure"
"human",784,"tissue"
"human",781,"hemolymphoid system"
"rat",776,"Thing"
"rat",775,"continuant"
"rat",774,"anatomical entity"
"rat",774,"anatomical structure"
"rat",774,"material anatomical entity"
"rat",774,"multicellular organism"
"rat",774,"multicellular anatomical structure"
"rat",769,"independent continuant"
"rat",769,"anatomical system"
"rat",767,"biological entity"
"human",762,"immune system"
"mouse",760,"nervous system cell part layer"
"mouse",754,"cerebral hemisphere gray matter"
"human",750,"organism subdivision"
"rat",743,"material entity"
"human",740,"hematopoietic system"
"mouse",738,"pallium"
"mouse",731,"central nervous system gray matter layer"
"mouse",730,"cerebral cortex"
